
#2p valence - odors, sucrose, shock, loud noise w/ air puff. Imaging 6000s pre (at least) - 12000s post stimulus sensation
#No. of total trials in session = 80
#No. of odor trials = 30
#No. of sucrose trials = 30
#No. of shock trials = 10
#No. of sound blast trials = 10
#Variable ITI = varies by stimulus class
#Odor4 = Female Mouse Urine (solenoid 4)
#Odor6 = Coyote Urine (solenoid 6)
#Odor duration (ms) = 2000
#Sucrose reward valvle open duration = 70
#Tail shock amplitude = 0.3 mA
#Shock duration (ms) = 250
#Sound blast = 75dB white noise
#Sound blast duration (ms) = 300

#Current millis: 277

#type <reward> at any time to give a one-time reward of 20ms
#type <free> at any time to initiate a 'free for all' lick reward period of 15000ms
#type <end> at any time to end session

#type <pause> at any time to halt session for 1 min - OLNY DEPLOY BETWEEN IMAGING CYCLES!

#HEADER: 'Trial/Delivery Type/port activated', timestamp


#IS THE NOSE CONE IN POSITION?
#No. of trials in session = 80. Are the correct number of cycles entered in Prairie View?
#Is autocorrect unchecked on Prairie View?
#Are PMTs on?
#Is correct zoom value entered in PV?
#Is correct Average Every value entered in PV?
#Is Prairie View set to Start and Stop Trigger, No. of Frames sufficient, and currently waiting for input trigger?
#Are the correct inlet/outlet ports open on air manifolds (4-6)?
#Is CoolTerm capturing?
#Is tail shock cuff applied? Shock box set to 'subject', 'remote', 'low' and 0.3 mA?
#Is air hose in place? Is speaker in place?


#Ok, ready to rock! Send any character to BEGIN SESSION


#---------------BEGIN SESSION---------------

#vITI = 15000,617699
 626698	BEGIN
632698	ODOR6
#vITI = 27464,634698
 646699	END
 656162	BEGIN
662162	ODOR4
#vITI = 25704,664162
 676162	END
 683866	BEGIN
689866	ODOR6
#vITI = 26620,691866
 703866	END
 712486	BEGIN
718486	ODOR6
#vITI = 29202,720486
 732486	END
 743688	BEGIN
749688	ODOR4
#vITI = 29739,751688
 763688	END
 775427	BEGIN
781427	ODOR6
#vITI = 28884,783427
 795427	END
 806311	BEGIN
812311	ODOR4
#vITI = 27859,814311
 826311	END
 836170	BEGIN
842170	ODOR4
#vITI = 28157,844170
 856170	END
 866327	BEGIN
872327	ODOR6
#vITI = 29023,874327
 886327	END
 897350	BEGIN
903350	ODOR4
#vITI = 27089,905350
 917350	END
 926439	BEGIN
932439	ODOR6
#vITI = 26853,934439
 946439	END
 955292	BEGIN
961292	ODOR6
#vITI = 29825,963292
 975292	END
 987117	BEGIN
993117	ODOR4
#vITI = 25682,995117
 1007117	END
 1014799	BEGIN
1020800	ODOR4
#vITI = 29867,1022800
 1034800	END
 1046667	BEGIN
1052667	ODOR6
#vITI = 27933,1054667
 1066667	END
 1076600	BEGIN
1082600	ODOR6
#vITI = 29528,1084600
 1096600	END
 1108128	BEGIN
1114128	ODOR4
#vITI = 27688,1116128
 1128128	END
 1137816	BEGIN
1143816	ODOR4
#vITI = 26851,1145816
 1157816	END
 1166667	BEGIN
1172667	ODOR6
#vITI = 28832,1174667
 1186667	END
 1197499	BEGIN
1203499	ODOR4
#vITI = 29784,1205499
 1217499	END
 1229283	BEGIN
1235283	ODOR6
#vITI = 25811,1237283
 1249283	END
 1257094	BEGIN
1263094	ODOR6
#vITI = 26348,1265094
 1277094	END
 1285442	BEGIN
1291442	ODOR4
#vITI = 29759,1293442
 1305442	END
 1317201	BEGIN
1323201	ODOR4
#vITI = 26464,1325201
 1337201	END
 1345665	BEGIN
1351665	ODOR6
#vITI = 26528,1353665
 1365665	END
 1374193	BEGIN
1380193	ODOR6
#vITI = 25711,1382193
 1394193	END
 1401904	BEGIN
1407904	ODOR4
#vITI = 26292,1409904
 1421904	END
 1430196	BEGIN
1436196	ODOR4
#vITI = 28065,1438196
 1450196	END
 1460261	BEGIN
1466261	ODOR6
#vITI = 28028,1468261
 1480261	END
 1490289	BEGIN
1496290	ODOR4
#vITI = 26529,1498289
 1510289	END
#2 min delay begins now...remove nose cone and position lick spout!, 1510311
#1 min remaining, 1570317
#15 sec remaining
#5sec remaining
#resuming task
 1632389	BEGIN
1636835	LICK
1637018	LICK
1637079	LICK
1638389	TONE_RW
1638389	REWARD
1639464	LICK
 1639465	COLLECTED
#vITI = 20454,1639465
1639525	LICK
1639586	LICK
1639648	LICK
1639709	LICK
1639770	LICK
1639892	LICK
1639953	LICK
1640014	LICK
1640076	LICK
1640137	LICK
1640198	LICK
1643378	LICK
1643439	LICK
1643561	LICK
1643622	LICK
1646130	LICK
1646191	LICK
1646313	LICK
1646374	LICK
 1651465	END
1652367	LICK
1652428	LICK
1652550	LICK
1652612	LICK
1653040	LICK
1653223	LICK
1653284	LICK
1653651	LICK
1653712	LICK
 1653919	BEGIN
1654201	LICK
1659919	TONE_RW
1659919	REWARD
1661478	LICK
 1661479	COLLECTED
#vITI = 21094,1661479
1661539	LICK
1661600	LICK
1661662	LICK
1661906	LICK
1661967	LICK
1662028	LICK
1662090	LICK
1662151	LICK
1662212	LICK
1662334	LICK
1662395	LICK
1662456	LICK
1662518	LICK
1662640	LICK
1662946	LICK
1663007	LICK
1666676	LICK
1666737	LICK
1666798	LICK
1666860	LICK
1666981	LICK
1667043	LICK
1669306	LICK
1669428	LICK
1669551	LICK
1669612	LICK
1670835	LICK
1670957	LICK
1673281	LICK
1673464	LICK
 1673479	END
1673525	LICK
1676399	LICK
1676461	LICK
1676522	LICK
 1676573	BEGIN
1680251	LICK
1680312	LICK
1680373	LICK
1680435	LICK
1681046	LICK
1682573	TONE_RW
1682573	REWARD
 1683676	COLLECTED
#vITI = 21426,1683677
1683677	LICK
1683739	LICK
1683981	LICK
1684104	LICK
1684226	LICK
1684348	LICK
1684409	LICK
1684470	LICK
1684531	LICK
1684654	LICK
1684715	LICK
1684960	LICK
1685326	LICK
1685387	LICK
1689545	LICK
1689606	LICK
1689729	LICK
1689790	LICK
1689912	LICK
1689973	LICK
1690157	LICK
1690218	LICK
1690340	LICK
1690401	LICK
1690523	LICK
1690584	LICK
1692480	LICK
 1695676	END
1695781	LICK
1695843	LICK
1695965	LICK
1696148	LICK
1696331	LICK
1696393	LICK
1698228	LICK
1698411	LICK
